SensorID;10.4._00:00;10.4._00:15;10.4._00:30;10.4._00:45;10.4._01:00;10.4._01:15;10.4._01:30;10.4._01:45;10.4._02:00;10.4._02:15;10.4._02:30;10.4._02:45;10.4._03:00;10.4._03:15;10.4._03:30;10.4._03:45;10.4._04:00;10.4._04:15;10.4._04:30;10.4._04:45;10.4._05:00;10.4._05:15;10.4._05:30;10.4._05:45;10.4._06:00;10.4._06:15;10.4._06:30;10.4._06:45;10.4._07:00;10.4._07:15;10.4._07:30;10.4._07:45;10.4._08:00;10.4._08:15;10.4._08:30;10.4._08:45;10.4._09:00;10.4._09:15;10.4._09:30;10.4._09:45;10.4._10:00;10.4._10:15;10.4._10:30;10.4._10:45;10.4._11:00;10.4._11:15;10.4._11:30;10.4._11:45;10.4._12:00;10.4._12:15;10.4._12:30;10.4._12:45;10.4._13:00;10.4._13:15;10.4._13:30;10.4._13:45;10.4._14:00;10.4._14:15;10.4._14:30;10.4._14:45;10.4._15:00;10.4._15:15;10.4._15:30;10.4._15:45;10.4._16:00;10.4._16:15;10.4._16:30;10.4._16:45;10.4._17:00;10.4._17:15;10.4._17:30;10.4._17:45;10.4._18:00;10.4._18:15;10.4._18:30;10.4._18:45;10.4._19:00;10.4._19:15;10.4._19:30;10.4._19:45;10.4._20:00;10.4._20:15;10.4._20:30;10.4._20:45;10.4._21:00;10.4._21:15;10.4._21:30;10.4._21:45;10.4._22:00;10.4._22:15;10.4._22:30;10.4._22:45;10.4._23:00
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;35.6;39.1;42.6;46.2;49.8;53.4;57.1;-1;-1;-1;-1;-1;-1;82.8;86.5;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.001;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;12.8;13.2;14.6;16.7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;64.4;-1;-1;-1;-1;-1;86.5;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.002;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;17.3;15.0;13.4;12.8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;57.1;60.7;64.4;-1;-1;-1;-1;82.8;86.5;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.003;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;49.8;53.4;57.1;60.7;-1;-1;-1;-1;-1;82.8;86.5;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.004;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39.1;42.6;46.2;49.8;53.4;57.1;60.7;-1;-1;-1;-1;-1;82.8;86.5;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.005;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;32.1;35.6;39.1;42.6;46.2;49.8;53.4;57.1;-1;-1;-1;-1;-1;-1;82.8;86.5;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.006;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;25.3;23.7;22.6;22.1;22.2;22.9;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;55.5;-1;-1;-1;-1;-1;76.4;80.0;-1;-1;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.007;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;27.3;25.3;23.7;22.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;52.1;55.5;-1;-1;-1;-1;-1;76.4;80.0;-1;-1;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.008;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;32.2;29.6;27.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;48.7;52.1;55.5;-1;-1;-1;-1;72.9;76.4;80.0;-1;-1;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.009;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;32.2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;42.2;45.5;48.7;52.1;-1;-1;-1;-1;-1;72.9;76.4;80.0;-1;-1;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
