Datum;Uhrzeit;Status_Code;Verursacher_Name;Sonnen_Elevation_Grad
1.3.2026;06:00;2;NACHT;-11.84°
1.3.2026;06:01;2;NACHT;-11.68°
1.3.2026;06:02;2;NACHT;-11.52°
1.3.2026;06:03;2;NACHT;-11.36°
1.3.2026;06:04;2;NACHT;-11.20°
1.3.2026;06:05;2;NACHT;-11.04°
1.3.2026;06:06;2;NACHT;-10.88°
1.3.2026;06:07;2;NACHT;-10.72°
1.3.2026;06:08;2;NACHT;-10.56°
1.3.2026;06:09;2;NACHT;-10.40°
1.3.2026;06:10;2;NACHT;-10.24°
1.3.2026;06:11;2;NACHT;-10.08°
1.3.2026;06:12;2;NACHT;-9.92°
1.3.2026;06:13;2;NACHT;-9.76°
1.3.2026;06:14;2;NACHT;-9.60°
1.3.2026;06:15;2;NACHT;-9.44°
1.3.2026;06:16;2;NACHT;-9.28°
1.3.2026;06:17;2;NACHT;-9.12°
1.3.2026;06:18;2;NACHT;-8.96°
1.3.2026;06:19;2;NACHT;-8.79°
1.3.2026;06:20;2;NACHT;-8.63°
1.3.2026;06:21;2;NACHT;-8.47°
1.3.2026;06:22;2;NACHT;-8.31°
1.3.2026;06:23;2;NACHT;-8.15°
1.3.2026;06:24;2;NACHT;-7.99°
1.3.2026;06:25;2;NACHT;-7.83°
1.3.2026;06:26;2;NACHT;-7.67°
1.3.2026;06:27;2;NACHT;-7.51°
1.3.2026;06:28;2;NACHT;-7.35°
1.3.2026;06:29;2;NACHT;-7.19°
1.3.2026;06:30;2;NACHT;-7.03°
1.3.2026;06:31;2;NACHT;-6.87°
1.3.2026;06:32;2;NACHT;-6.71°
1.3.2026;06:33;2;NACHT;-6.55°
1.3.2026;06:34;2;NACHT;-6.39°
1.3.2026;06:35;2;NACHT;-6.23°
1.3.2026;06:36;2;NACHT;-6.07°
1.3.2026;06:37;2;NACHT;-5.91°
1.3.2026;06:38;2;NACHT;-5.75°
1.3.2026;06:39;2;NACHT;-5.59°
1.3.2026;06:40;2;NACHT;-5.43°
1.3.2026;06:41;2;NACHT;-5.27°
1.3.2026;06:42;2;NACHT;-5.11°
1.3.2026;06:43;2;NACHT;-4.95°
1.3.2026;06:44;2;NACHT;-4.79°
1.3.2026;06:45;2;NACHT;-4.63°
1.3.2026;06:46;2;NACHT;-4.47°
1.3.2026;06:47;2;NACHT;-4.31°
1.3.2026;06:48;2;NACHT;-4.15°
1.3.2026;06:49;2;NACHT;-3.99°
1.3.2026;06:50;2;NACHT;-3.83°
1.3.2026;06:51;2;NACHT;-3.67°
1.3.2026;06:52;2;NACHT;-3.51°
1.3.2026;06:53;2;NACHT;-3.36°
1.3.2026;06:54;2;NACHT;-3.20°
1.3.2026;06:55;2;NACHT;-3.04°
1.3.2026;06:56;2;NACHT;-2.88°
1.3.2026;06:57;2;NACHT;-2.72°
1.3.2026;06:58;2;NACHT;-2.56°
1.3.2026;06:59;2;NACHT;-2.40°
1.3.2026;07:00;2;NACHT;-2.24°
1.3.2026;07:01;2;NACHT;-2.09°
1.3.2026;07:02;2;NACHT;-1.93°
1.3.2026;07:03;2;NACHT;-1.77°
1.3.2026;07:04;2;NACHT;-1.61°
1.3.2026;07:05;2;NACHT;-1.45°
1.3.2026;07:06;2;NACHT;-1.29°
1.3.2026;07:07;2;NACHT;-1.14°
1.3.2026;07:08;2;NACHT;-0.98°
1.3.2026;07:09;2;NACHT;-0.82°
1.3.2026;07:10;2;NACHT;-0.66°
1.3.2026;07:11;2;NACHT;-0.51°
1.3.2026;07:12;2;NACHT;-0.35°
1.3.2026;07:13;2;NACHT;-0.19°
1.3.2026;07:14;2;NACHT;-0.03°
1.3.2026;07:15;1;UMGEBUNG (FOUR Frankfurt);0.12°
1.3.2026;07:16;1;UMGEBUNG (FOUR Frankfurt);0.28°
1.3.2026;07:17;1;UMGEBUNG (FOUR Frankfurt);0.44°
1.3.2026;07:18;1;UMGEBUNG (FOUR Frankfurt);0.59°
1.3.2026;07:19;1;UMGEBUNG (FOUR Frankfurt);0.75°
1.3.2026;07:20;1;UMGEBUNG (FOUR Frankfurt);0.91°
1.3.2026;07:21;1;UMGEBUNG (FOUR Frankfurt);1.06°
1.3.2026;07:22;1;UMGEBUNG (FOUR Frankfurt);1.22°
1.3.2026;07:23;1;UMGEBUNG (FOUR Frankfurt);1.38°
1.3.2026;07:24;1;UMGEBUNG (FOUR Frankfurt);1.53°
1.3.2026;07:25;1;UMGEBUNG (FOUR Frankfurt);1.69°
1.3.2026;07:26;1;UMGEBUNG (FOUR Frankfurt);1.84°
1.3.2026;07:27;1;UMGEBUNG (FOUR Frankfurt);2.00°
1.3.2026;07:28;1;UMGEBUNG (FOUR Frankfurt);2.15°
1.3.2026;07:29;1;UMGEBUNG (FOUR Frankfurt);2.31°
1.3.2026;07:30;1;UMGEBUNG (FOUR Frankfurt);2.47°
1.3.2026;07:31;1;UMGEBUNG (FOUR Frankfurt);2.62°
1.3.2026;07:32;1;UMGEBUNG (FOUR Frankfurt);2.78°
1.3.2026;07:33;1;UMGEBUNG (FOUR Frankfurt);2.93°
1.3.2026;07:34;1;UMGEBUNG (FOUR Frankfurt);3.08°
1.3.2026;07:35;1;UMGEBUNG (FOUR Frankfurt);3.24°
1.3.2026;07:36;1;UMGEBUNG (FOUR Frankfurt);3.39°
1.3.2026;07:37;1;UMGEBUNG (FOUR Frankfurt);3.55°
1.3.2026;07:38;1;UMGEBUNG (FOUR Frankfurt);3.70°
1.3.2026;07:39;1;UMGEBUNG (FOUR Frankfurt);3.86°
1.3.2026;07:40;1;UMGEBUNG (FOUR Frankfurt);4.01°
1.3.2026;07:41;1;UMGEBUNG (FOUR Frankfurt);4.16°
1.3.2026;07:42;1;UMGEBUNG (FOUR Frankfurt);4.32°
1.3.2026;07:43;1;UMGEBUNG (FOUR Frankfurt);4.47°
1.3.2026;07:44;1;UMGEBUNG (FOUR Frankfurt);4.62°
1.3.2026;07:45;1;UMGEBUNG (FOUR Frankfurt);4.78°
1.3.2026;07:46;1;UMGEBUNG (FOUR Frankfurt);4.93°
1.3.2026;07:47;1;UMGEBUNG (FOUR Frankfurt);5.08°
1.3.2026;07:48;1;UMGEBUNG (FOUR Frankfurt);5.23°
1.3.2026;07:49;1;UMGEBUNG (FOUR Frankfurt);5.39°
1.3.2026;07:50;1;UMGEBUNG (FOUR Frankfurt);5.54°
1.3.2026;07:51;1;UMGEBUNG (FOUR Frankfurt);5.69°
1.3.2026;07:52;1;UMGEBUNG (FOUR Frankfurt);5.84°
1.3.2026;07:53;1;UMGEBUNG (FOUR Frankfurt);5.99°
1.3.2026;07:54;1;UMGEBUNG (FOUR Frankfurt);6.15°
1.3.2026;07:55;1;UMGEBUNG (FOUR Frankfurt);6.30°
1.3.2026;07:56;1;UMGEBUNG (FOUR Frankfurt);6.45°
1.3.2026;07:57;1;UMGEBUNG (FOUR Frankfurt);6.60°
1.3.2026;07:58;1;UMGEBUNG (FOUR Frankfurt);6.75°
1.3.2026;07:59;1;UMGEBUNG (FOUR Frankfurt);6.90°
1.3.2026;08:00;1;UMGEBUNG (FOUR Frankfurt);7.05°
1.3.2026;08:01;1;UMGEBUNG (FOUR Frankfurt);7.20°
1.3.2026;08:02;1;UMGEBUNG (FOUR Frankfurt);7.35°
1.3.2026;08:03;1;UMGEBUNG (FOUR Frankfurt);7.50°
1.3.2026;08:04;1;UMGEBUNG (FOUR Frankfurt);7.65°
1.3.2026;08:05;1;UMGEBUNG (FOUR Frankfurt);7.80°
1.3.2026;08:06;1;UMGEBUNG (FOUR Frankfurt);7.95°
1.3.2026;08:07;1;UMGEBUNG (FOUR Frankfurt);8.10°
1.3.2026;08:08;1;UMGEBUNG (FOUR Frankfurt);8.24°
1.3.2026;08:09;1;UMGEBUNG (FOUR Frankfurt);8.39°
1.3.2026;08:10;1;UMGEBUNG (FOUR Frankfurt);8.54°
1.3.2026;08:11;1;UMGEBUNG (FOUR Frankfurt);8.69°
1.3.2026;08:12;1;UMGEBUNG (FOUR Frankfurt);8.84°
1.3.2026;08:13;1;UMGEBUNG (FOUR Frankfurt);8.98°
1.3.2026;08:14;1;UMGEBUNG (FOUR Frankfurt);9.13°
1.3.2026;08:15;1;UMGEBUNG (FOUR Frankfurt);9.28°
1.3.2026;08:16;1;UMGEBUNG (FOUR Frankfurt);9.43°
1.3.2026;08:17;1;UMGEBUNG (FOUR Frankfurt);9.57°
1.3.2026;08:18;1;UMGEBUNG (FOUR Frankfurt);9.72°
1.3.2026;08:19;1;UMGEBUNG (FOUR Frankfurt);9.86°
1.3.2026;08:20;1;UMGEBUNG (FOUR Frankfurt);10.01°
1.3.2026;08:21;1;UMGEBUNG (FOUR Frankfurt);10.16°
1.3.2026;08:22;1;UMGEBUNG (FOUR Frankfurt);10.30°
1.3.2026;08:23;1;UMGEBUNG (FOUR Frankfurt);10.45°
1.3.2026;08:24;1;UMGEBUNG (FOUR Frankfurt);10.59°
1.3.2026;08:25;1;UMGEBUNG (FOUR Frankfurt);10.74°
1.3.2026;08:26;1;UMGEBUNG (FOUR Frankfurt);10.88°
1.3.2026;08:27;1;UMGEBUNG (FOUR Frankfurt);11.03°
1.3.2026;08:28;1;UMGEBUNG (FOUR Frankfurt);11.17°
1.3.2026;08:29;1;UMGEBUNG (FOUR Frankfurt);11.31°
1.3.2026;08:30;1;UMGEBUNG (FOUR Frankfurt);11.46°
1.3.2026;08:31;1;UMGEBUNG (FOUR Frankfurt);11.60°
1.3.2026;08:32;1;UMGEBUNG (FOUR Frankfurt);11.74°
1.3.2026;08:33;1;UMGEBUNG (FOUR Frankfurt);11.89°
1.3.2026;08:34;1;UMGEBUNG (FOUR Frankfurt);12.03°
1.3.2026;08:35;1;UMGEBUNG (FOUR Frankfurt);12.17°
1.3.2026;08:36;1;UMGEBUNG (FOUR Frankfurt);12.31°
1.3.2026;08:37;1;UMGEBUNG (FOUR Frankfurt);12.45°
1.3.2026;08:38;1;UMGEBUNG (FOUR Frankfurt);12.59°
1.3.2026;08:39;1;UMGEBUNG (FOUR Frankfurt);12.74°
1.3.2026;08:40;1;UMGEBUNG (FOUR Frankfurt);12.88°
1.3.2026;08:41;1;UMGEBUNG (FOUR Frankfurt);13.02°
1.3.2026;08:42;1;UMGEBUNG (FOUR Frankfurt);13.16°
1.3.2026;08:43;1;UMGEBUNG (FOUR Frankfurt);13.30°
1.3.2026;08:44;1;UMGEBUNG (FOUR Frankfurt);13.44°
1.3.2026;08:45;1;UMGEBUNG (FOUR Frankfurt);13.58°
1.3.2026;08:46;1;UMGEBUNG (FOUR Frankfurt);13.71°
1.3.2026;08:47;1;UMGEBUNG (FOUR Frankfurt);13.85°
1.3.2026;08:48;1;UMGEBUNG (FOUR Frankfurt);13.99°
1.3.2026;08:49;1;UMGEBUNG (FOUR Frankfurt);14.13°
1.3.2026;08:50;1;UMGEBUNG (FOUR Frankfurt);14.27°
1.3.2026;08:51;1;UMGEBUNG (FOUR Frankfurt);14.40°
1.3.2026;08:52;1;UMGEBUNG (FOUR Frankfurt);14.54°
1.3.2026;08:53;1;UMGEBUNG (FOUR Frankfurt);14.68°
1.3.2026;08:54;1;UMGEBUNG (FOUR Frankfurt);14.82°
1.3.2026;08:55;1;UMGEBUNG (FOUR Frankfurt);14.95°
1.3.2026;08:56;1;UMGEBUNG (FOUR Frankfurt);15.09°
1.3.2026;08:57;1;UMGEBUNG (FOUR Frankfurt);15.22°
1.3.2026;08:58;1;UMGEBUNG (FOUR Frankfurt);15.36°
1.3.2026;08:59;1;UMGEBUNG (FOUR Frankfurt);15.49°
1.3.2026;09:00;1;UMGEBUNG (FOUR Frankfurt);15.63°
1.3.2026;09:01;1;UMGEBUNG (FOUR Frankfurt);15.76°
1.3.2026;09:02;1;UMGEBUNG (FOUR Frankfurt);15.90°
1.3.2026;09:03;1;UMGEBUNG (FOUR Frankfurt);16.03°
1.3.2026;09:04;1;UMGEBUNG (FOUR Frankfurt);16.16°
1.3.2026;09:05;1;UMGEBUNG (FOUR Frankfurt);16.30°
1.3.2026;09:06;1;UMGEBUNG (FOUR Frankfurt);16.43°
1.3.2026;09:07;1;UMGEBUNG (FOUR Frankfurt);16.56°
1.3.2026;09:08;1;UMGEBUNG (FOUR Frankfurt);16.69°
1.3.2026;09:09;1;UMGEBUNG (FOUR Frankfurt);16.82°
1.3.2026;09:10;1;UMGEBUNG (FOUR Frankfurt);16.96°
1.3.2026;09:11;1;UMGEBUNG (FOUR Frankfurt);17.09°
1.3.2026;09:12;1;UMGEBUNG (FOUR Frankfurt);17.22°
1.3.2026;09:13;1;UMGEBUNG (FOUR Frankfurt);17.35°
1.3.2026;09:14;1;UMGEBUNG (FOUR Frankfurt);17.48°
1.3.2026;09:15;1;UMGEBUNG (FOUR Frankfurt);17.61°
1.3.2026;09:16;1;UMGEBUNG (FOUR Frankfurt);17.74°
1.3.2026;09:17;1;UMGEBUNG (FOUR Frankfurt);17.86°
1.3.2026;09:18;1;UMGEBUNG (FOUR Frankfurt);17.99°
1.3.2026;09:19;1;UMGEBUNG (FOUR Frankfurt);18.12°
1.3.2026;09:20;1;UMGEBUNG (FOUR Frankfurt);18.25°
1.3.2026;09:21;1;UMGEBUNG (FOUR Frankfurt);18.37°
1.3.2026;09:22;1;UMGEBUNG (FOUR Frankfurt);18.50°
1.3.2026;09:23;1;UMGEBUNG (FOUR Frankfurt);18.63°
1.3.2026;09:24;1;UMGEBUNG (FOUR Frankfurt);18.75°
1.3.2026;09:25;1;UMGEBUNG (FOUR Frankfurt);18.88°
1.3.2026;09:26;1;UMGEBUNG (FOUR Frankfurt);19.00°
1.3.2026;09:27;1;UMGEBUNG (FOUR Frankfurt);19.13°
1.3.2026;09:28;1;UMGEBUNG (FOUR Frankfurt);19.25°
1.3.2026;09:29;1;UMGEBUNG (FOUR Frankfurt);19.38°
1.3.2026;09:30;1;UMGEBUNG (FOUR Frankfurt);19.50°
1.3.2026;09:31;1;UMGEBUNG (FOUR Frankfurt);19.62°
1.3.2026;09:32;1;UMGEBUNG (FOUR Frankfurt);19.75°
1.3.2026;09:33;1;UMGEBUNG (FOUR Frankfurt);19.87°
1.3.2026;09:34;1;UMGEBUNG (FOUR Frankfurt);19.99°
1.3.2026;09:35;1;UMGEBUNG (FOUR Frankfurt);20.11°
1.3.2026;09:36;1;UMGEBUNG (FOUR Frankfurt);20.23°
1.3.2026;09:37;1;UMGEBUNG (FOUR Frankfurt);20.36°
1.3.2026;09:38;1;UMGEBUNG (FOUR Frankfurt);20.48°
1.3.2026;09:39;1;UMGEBUNG (FOUR Frankfurt);20.60°
1.3.2026;09:40;1;UMGEBUNG (FOUR Frankfurt);20.71°
1.3.2026;09:41;1;UMGEBUNG (FOUR Frankfurt);20.83°
1.3.2026;09:42;1;UMGEBUNG (FOUR Frankfurt);20.95°
1.3.2026;09:43;1;UMGEBUNG (FOUR Frankfurt);21.07°
1.3.2026;09:44;1;UMGEBUNG (FOUR Frankfurt);21.19°
1.3.2026;09:45;1;UMGEBUNG (FOUR Frankfurt);21.30°
1.3.2026;09:46;1;UMGEBUNG (FOUR Frankfurt);21.42°
1.3.2026;09:47;1;UMGEBUNG (FOUR Frankfurt);21.54°
1.3.2026;09:48;1;UMGEBUNG (FOUR Frankfurt);21.65°
1.3.2026;09:49;1;UMGEBUNG (FOUR Frankfurt);21.77°
