SensorID;5.2._06:00;5.2._07:00;5.2._08:00;5.2._09:00;5.2._10:00;5.2._11:00;5.2._12:00;5.2._13:00;5.2._14:00;5.2._15:00;5.2._16:00;5.2._17:00;5.2._18:00;5.2._19:00;5.2._20:00
FL00_W001;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W002;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W003;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W004;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W005;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W006;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W007;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W008;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W009;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W010;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W011;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W012;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W013;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W014;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W015;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W016;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W017;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W018;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W019;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W020;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W021;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W022;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W023;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W024;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W025;2;2;1;1;1;1;0;1;1;1;1;1;2;2;2
FL00_W026;2;2;1;0;1;1;0;1;1;1;1;1;2;2;2
FL00_W027;2;2;0;0;1;1;0;1;1;1;1;1;2;2;2
FL00_W028;2;2;0;0;1;1;0;1;1;1;1;1;2;2;2
FL00_W029;2;2;1;0;1;1;0;1;1;1;1;1;2;2;2
FL00_W030;2;2;1;0;1;1;0;1;1;1;1;1;2;2;2
FL00_W031;2;2;1;0;1;1;0;1;1;1;1;1;2;2;2
FL00_W032;2;2;1;0;1;1;0;1;1;1;1;1;2;2;2
FL00_W033;2;2;1;0;1;1;0;1;1;1;1;1;2;2;2
FL00_W034;2;2;1;0;1;1;0;1;1;1;1;1;2;2;2
FL00_W035;2;2;1;0;1;1;1;1;1;1;1;1;2;2;2
FL00_W036;2;2;1;0;1;1;1;1;1;1;1;1;2;2;2
FL00_W037;2;2;1;0;1;1;1;1;1;1;1;1;2;2;2
FL00_W038;2;2;1;0;1;1;1;1;1;1;1;1;2;2;2
FL00_W039;2;2;1;0;1;1;1;0;1;1;1;1;2;2;2
FL00_W040;2;2;1;0;1;1;1;0;1;1;1;1;2;2;2
FL00_W041;2;2;1;0;1;1;1;0;1;1;1;1;2;2;2
FL00_W042;2;2;1;0;0;1;1;0;1;1;1;1;2;2;2
FL00_W043;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W044;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W045;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W046;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W047;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W048;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W049;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W050;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
FL00_W051;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2
